query_id,query,type,has_adversarial,expected,top1_file,top1_cosine,query_ms,top1_hit,recall_at_1,recall_at_3,recall_at_10,reciprocal_rank,adv_precision_pass,adv_rank_gap,adv_gap_by_type
Q01,How does the broker accept incoming client TCP connections?,DIRECT_CONCEPT,true,core/src/main/scala/kafka/network/SocketServer.scala,server/src/main/java/org/apache/kafka/network/SocketServerConfigs.java,0.6122,32,false,0.0000,1.0000,1.0000,0.5000,true,no_adv_retrieved,
Q02,How does Kafka deduplicate keys during log compaction?,DIRECT_CONCEPT,true,core/src/main/scala/kafka/log/LogCleaner.scala,core/src/main/scala/kafka/log/LogCleanerManager.scala,0.6535,15,false,0.0000,0.0000,1.0000,0.2500,false,-3,PARENT=-3
Q03,How does a follower replica fetch records from the leader?,BEHAVIOURAL,true,core/src/main/scala/kafka/server/ReplicaFetcherThread.scala,core/src/main/scala/kafka/cluster/Partition.scala,0.6690,18,false,0.0000,1.0000,1.0000,0.5000,true,3,PARENT=3
Q04,How does a Raft node decide to start a leader election?,BEHAVIOURAL,true,raft/src/main/java/org/apache/kafka/raft/KafkaRaftClient.java,raft/src/main/java/org/apache/kafka/raft/RaftClient.java,0.6590,22,false,0.0000,0.0000,1.0000,0.2500,false,-3,INTERFACE=-3|SIBLING=-1
Q05,How is broker metadata loaded from the KRaft log on startup?,CROSS_CUTTING,true,metadata/src/main/java/org/apache/kafka/image/loader/MetadataLoader.java,core/src/main/scala/kafka/server/BrokerServer.scala,0.7035,16,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
Q06,How does the broker coordinate consumer group membership and trigger rebalances?,CROSS_CUTTING,true,core/src/main/scala/kafka/coordinator/group/GroupCoordinator.scala,core/src/main/scala/kafka/coordinator/group/GroupCoordinator.scala,0.6362,17,true,1.0000,1.0000,1.0000,1.0000,true,no_adv_retrieved,
Q07,How does the broker manage a transaction's lifecycle from Begin to Prepare to Commit?,BEHAVIOURAL,true,core/src/main/scala/kafka/coordinator/transaction/TransactionCoordinator.scala,core/src/main/scala/kafka/coordinator/transaction/TransactionStateManager.scala,0.6826,12,false,0.0000,0.0000,1.0000,0.2500,false,-3,SIBLING=-3
Q08,How does a partition leader track its in-sync replica set and advance the high watermark?,BEHAVIOURAL,true,core/src/main/scala/kafka/cluster/Partition.scala,core/src/main/scala/kafka/server/ReplicaFetcherThread.scala,0.7172,12,false,0.0000,1.0000,1.0000,0.5000,true,1,PARENT=1
Q09,Where does the broker dispatch each incoming protocol request to its handler?,CROSS_CUTTING,true,core/src/main/scala/kafka/server/KafkaApis.scala,core/src/main/scala/kafka/server/KafkaConfig.scala,0.6092,11,false,0.0000,0.0000,1.0000,0.2500,true,no_adv_retrieved,
Q10,How is a KRaft metadata snapshot generated from the current metadata image?,DIRECT_CONCEPT,true,metadata/src/main/java/org/apache/kafka/image/publisher/SnapshotGenerator.java,metadata/src/main/java/org/apache/kafka/image/publisher/SnapshotGenerator.java,0.6791,12,true,1.0000,1.0000,1.0000,1.0000,true,no_adv_retrieved,
Q11,How does the broker periodically clean up logs based on retention policy?,BEHAVIOURAL,true,core/src/main/scala/kafka/log/LogManager.scala,core/src/main/scala/kafka/log/LogCleaner.scala,0.6174,12,false,0.0000,1.0000,1.0000,0.3333,false,-2,SIBLING=-2
Q12,How is a Kafka broker server initialized and started up with all its components?,CROSS_CUTTING,true,core/src/main/scala/kafka/server/BrokerServer.scala,core/src/main/scala/kafka/server/SharedServer.scala,0.6785,12,false,0.0000,1.0000,1.0000,0.5000,false,-1,SIBLING=-1
Q13,How does the broker detect duplicate batches from an idempotent producer?,BEHAVIOURAL,true,storage/src/main/java/org/apache/kafka/storage/internals/log/ProducerStateManager.java,server-common/src/main/java/org/apache/kafka/admin/AdminUtils.java,0.6134,12,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
Q14,How does Kafka guarantee exactly-once delivery for stream-processing applications?,ANTI_PATTERN,false,core/src/main/scala/kafka/coordinator/transaction/TransactionCoordinator.scala|storage/src/main/java/org/apache/kafka/storage/internals/log/ProducerStateManager.java|storage/src/main/java/org/apache/kafka/storage/internals/log/LogValidator.java|core/src/main/scala/kafka/coordinator/transaction/TransactionMarkerChannelManager.scala,server-common/src/main/java/org/apache/kafka/server/util/ThroughputThrottler.java,0.5939,12,false,0.0000,0.0000,0.0000,0.0000,,,
Q15,Where in the broker is authentication and authorization implemented?,ANTI_PATTERN,false,core/src/main/scala/kafka/server/AclApis.scala|core/src/main/scala/kafka/server/AuthHelper.scala|core/src/main/scala/kafka/server/DelegationTokenManager.scala|core/src/main/scala/kafka/server/metadata/AclPublisher.scala|core/src/main/scala/kafka/server/metadata/ScramPublisher.scala|core/src/main/scala/kafka/server/metadata/DelegationTokenPublisher.scala,core/src/main/scala/kafka/server/KafkaApis.scala,0.6737,11,false,0.0000,0.0000,0.0000,0.0000,,,
Q16,How does the broker cache an incremental fetch session between consumer requests?,DIRECT_CONCEPT,true,core/src/main/scala/kafka/server/FetchSession.scala,core/src/main/scala/kafka/cluster/Replica.scala,0.6314,12,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
Q17,How does the Raft layer represent the current set of voters in the cluster?,DIRECT_CONCEPT,true,raft/src/main/java/org/apache/kafka/raft/VoterSet.java,raft/src/main/java/org/apache/kafka/raft/internals/UpdateVoterHandler.java,0.6527,11,false,0.0000,1.0000,1.0000,0.3333,true,1,SIBLING=1
Q18,How does an incoming Produce request flow through the broker from the network thread to the log?,CROSS_CUTTING,true,core/src/main/scala/kafka/server/ReplicaManager.scala,core/src/main/scala/kafka/network/SocketServer.scala,0.6536,12,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
Q19,How does the broker rate-limit individual clients exceeding their configured quota?,CROSS_CUTTING,true,core/src/main/scala/kafka/server/ClientQuotaManager.scala,core/src/main/scala/kafka/server/ClientQuotaManager.scala,0.6067,11,true,1.0000,1.0000,1.0000,1.0000,true,no_adv_retrieved,
Q20,How is a single log segment file structured on disk and accessed by the broker?,DIRECT_CONCEPT,true,storage/src/main/java/org/apache/kafka/storage/internals/log/LogSegment.java,core/src/main/scala/kafka/server/ReplicaManager.scala,0.6381,12,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
Q21,How does the KRaft controller handle a topic-creation request and persist it to the metadata log?,CROSS_CUTTING,true,metadata/src/main/java/org/apache/kafka/controller/QuorumController.java,core/src/main/scala/kafka/server/AutoTopicCreationManager.scala,0.6914,14,false,0.0000,1.0000,1.0000,0.5000,true,no_adv_retrieved,
Q22,How does the broker delay a Produce request until enough replicas have acknowledged?,DIRECT_CONCEPT,true,core/src/main/scala/kafka/server/DelayedProduce.scala,core/src/main/scala/kafka/cluster/Replica.scala,0.7010,12,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
Q23,How does the broker recover its log state from disk on startup?,DIRECT_CONCEPT,true,storage/src/main/java/org/apache/kafka/storage/internals/log/LogLoader.java,metadata/src/main/java/org/apache/kafka/image/publisher/BrokerRegistrationTracker.java,0.6297,11,false,0.0000,0.0000,1.0000,0.1111,false,-7,PARENT=-4|SIBLING=-7
Q24,How does the broker apply a record batch to update its in-memory metadata image?,BEHAVIOURAL,true,metadata/src/main/java/org/apache/kafka/image/MetadataDelta.java,metadata/src/main/java/org/apache/kafka/image/loader/MetadataBatchLoader.java,0.6601,11,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
Q25,How does the broker manage the pool of fetcher threads pulling from leader replicas?,DIRECT_CONCEPT,true,core/src/main/scala/kafka/server/ReplicaFetcherManager.scala,core/src/main/scala/kafka/server/ReplicaManager.scala,0.6837,12,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
Q26,How does the broker negotiate API versions with a connecting client?,BEHAVIOURAL,true,core/src/main/scala/kafka/server/ApiVersionManager.scala,core/src/main/scala/kafka/server/ForwardingManager.scala,0.6764,12,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
Q27,How are metadata-image updates broadcast to interested broker components?,CROSS_CUTTING,true,core/src/main/scala/kafka/server/metadata/BrokerMetadataPublisher.scala,core/src/main/scala/kafka/server/BrokerServer.scala,0.6464,12,false,0.0000,0.0000,1.0000,0.1429,true,no_adv_retrieved,
Q28,How does a Kafka broker gracefully shut down all its components?,ANTI_PATTERN,false,core/src/main/scala/kafka/server/BrokerServer.scala|core/src/main/scala/kafka/server/ReplicaManager.scala|core/src/main/scala/kafka/log/LogManager.scala|core/src/main/scala/kafka/coordinator/group/GroupCoordinator.scala|core/src/main/scala/kafka/network/SocketServer.scala,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,0.7277,11,false,0.0000,1.0000,1.0000,0.3333,,,
Q29,What happens inside a partition object when the controller assigns it a new leader?,BEHAVIOURAL,true,core/src/main/scala/kafka/cluster/Partition.scala,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,0.6641,12,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
Q30,What information does the broker store to identify a single log offset within a segment?,DIRECT_CONCEPT,true,storage/src/main/java/org/apache/kafka/storage/internals/log/LogOffsetMetadata.java,storage/src/main/java/org/apache/kafka/storage/internals/log/LocalLog.java,0.6790,12,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
