experiment_id,chunk_label,query_id,query_type,has_adversarial,top1_file,top1_cosine,top1_hit,recall_at_1,recall_at_3,recall_at_10,reciprocal_rank,adv_precision_pass,adv_rank_gap
E003b-750-100,750/100,Q01,DIRECT_CONCEPT,true,server/src/main/java/org/apache/kafka/network/SocketServerConfigs.java,0.6122,false,0.0000,1.0000,1.0000,0.5000,true,no_adv_retrieved
E003b-750-100,750/100,Q02,DIRECT_CONCEPT,true,core/src/main/scala/kafka/log/LogCleanerManager.scala,0.6535,false,0.0000,0.0000,1.0000,0.2500,false,-3
E003b-750-100,750/100,Q03,BEHAVIOURAL,true,core/src/main/scala/kafka/cluster/Partition.scala,0.6690,false,0.0000,1.0000,1.0000,0.5000,true,3
E003b-750-100,750/100,Q04,BEHAVIOURAL,true,raft/src/main/java/org/apache/kafka/raft/RaftClient.java,0.6590,false,0.0000,0.0000,1.0000,0.2500,false,-3
E003b-750-100,750/100,Q05,CROSS_CUTTING,true,core/src/main/scala/kafka/server/BrokerServer.scala,0.7035,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-750-100,750/100,Q06,CROSS_CUTTING,true,core/src/main/scala/kafka/coordinator/group/GroupCoordinator.scala,0.6362,true,1.0000,1.0000,1.0000,1.0000,true,no_adv_retrieved
E003b-750-100,750/100,Q07,BEHAVIOURAL,true,core/src/main/scala/kafka/coordinator/transaction/TransactionStateManager.scala,0.6826,false,0.0000,0.0000,1.0000,0.2500,false,-3
E003b-750-100,750/100,Q08,BEHAVIOURAL,true,core/src/main/scala/kafka/server/ReplicaFetcherThread.scala,0.7172,false,0.0000,1.0000,1.0000,0.5000,true,1
E003b-750-100,750/100,Q09,CROSS_CUTTING,true,core/src/main/scala/kafka/server/KafkaConfig.scala,0.6092,false,0.0000,0.0000,1.0000,0.2500,true,no_adv_retrieved
E003b-750-100,750/100,Q10,DIRECT_CONCEPT,true,metadata/src/main/java/org/apache/kafka/image/publisher/SnapshotGenerator.java,0.6791,true,1.0000,1.0000,1.0000,1.0000,true,no_adv_retrieved
E003b-750-100,750/100,Q11,BEHAVIOURAL,true,core/src/main/scala/kafka/log/LogCleaner.scala,0.6174,false,0.0000,1.0000,1.0000,0.3333,false,-2
E003b-750-100,750/100,Q12,CROSS_CUTTING,true,core/src/main/scala/kafka/server/SharedServer.scala,0.6785,false,0.0000,1.0000,1.0000,0.5000,false,-1
E003b-750-100,750/100,Q13,BEHAVIOURAL,true,server-common/src/main/java/org/apache/kafka/admin/AdminUtils.java,0.6134,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-750-100,750/100,Q14,ANTI_PATTERN,false,server-common/src/main/java/org/apache/kafka/server/util/ThroughputThrottler.java,0.5939,false,0.0000,0.0000,0.0000,0.0000,,
E003b-750-100,750/100,Q15,ANTI_PATTERN,false,core/src/main/scala/kafka/server/KafkaApis.scala,0.6737,false,0.0000,0.0000,0.0000,0.0000,,
E003b-750-100,750/100,Q16,DIRECT_CONCEPT,true,core/src/main/scala/kafka/cluster/Replica.scala,0.6314,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-750-100,750/100,Q17,DIRECT_CONCEPT,true,raft/src/main/java/org/apache/kafka/raft/internals/UpdateVoterHandler.java,0.6527,false,0.0000,1.0000,1.0000,0.3333,true,1
E003b-750-100,750/100,Q18,CROSS_CUTTING,true,core/src/main/scala/kafka/network/SocketServer.scala,0.6536,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-750-100,750/100,Q19,CROSS_CUTTING,true,core/src/main/scala/kafka/server/ClientQuotaManager.scala,0.6067,true,1.0000,1.0000,1.0000,1.0000,true,no_adv_retrieved
E003b-750-100,750/100,Q20,DIRECT_CONCEPT,true,core/src/main/scala/kafka/server/ReplicaManager.scala,0.6381,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-750-100,750/100,Q21,CROSS_CUTTING,true,core/src/main/scala/kafka/server/AutoTopicCreationManager.scala,0.6914,false,0.0000,1.0000,1.0000,0.5000,true,no_adv_retrieved
E003b-750-100,750/100,Q22,DIRECT_CONCEPT,true,core/src/main/scala/kafka/cluster/Replica.scala,0.7010,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-750-100,750/100,Q23,DIRECT_CONCEPT,true,metadata/src/main/java/org/apache/kafka/image/publisher/BrokerRegistrationTracker.java,0.6297,false,0.0000,0.0000,1.0000,0.1111,false,-7
E003b-750-100,750/100,Q24,BEHAVIOURAL,true,metadata/src/main/java/org/apache/kafka/image/loader/MetadataBatchLoader.java,0.6601,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-750-100,750/100,Q25,DIRECT_CONCEPT,true,core/src/main/scala/kafka/server/ReplicaManager.scala,0.6837,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-750-100,750/100,Q26,BEHAVIOURAL,true,core/src/main/scala/kafka/server/ForwardingManager.scala,0.6764,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-750-100,750/100,Q27,CROSS_CUTTING,true,core/src/main/scala/kafka/server/BrokerServer.scala,0.6464,false,0.0000,0.0000,1.0000,0.1429,true,no_adv_retrieved
E003b-750-100,750/100,Q28,ANTI_PATTERN,false,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,0.7277,false,0.0000,1.0000,1.0000,0.3333,,
E003b-750-100,750/100,Q29,BEHAVIOURAL,true,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,0.6641,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-750-100,750/100,Q30,DIRECT_CONCEPT,true,storage/src/main/java/org/apache/kafka/storage/internals/log/LocalLog.java,0.6790,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-1500-200,1500/200,Q01,DIRECT_CONCEPT,true,core/src/main/scala/kafka/cluster/EndPoint.scala,0.5885,false,0.0000,1.0000,1.0000,0.5000,true,no_adv_retrieved
E003b-1500-200,1500/200,Q02,DIRECT_CONCEPT,true,core/src/main/scala/kafka/log/LogCleaner.scala,0.6661,true,1.0000,1.0000,1.0000,1.0000,true,3
E003b-1500-200,1500/200,Q03,BEHAVIOURAL,true,core/src/main/scala/kafka/cluster/Partition.scala,0.6749,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-1500-200,1500/200,Q04,BEHAVIOURAL,true,raft/src/main/java/org/apache/kafka/raft/KafkaRaftClient.java,0.6112,true,1.0000,1.0000,1.0000,1.0000,true,3
E003b-1500-200,1500/200,Q05,CROSS_CUTTING,true,core/src/main/scala/kafka/server/BrokerServer.scala,0.6874,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-1500-200,1500/200,Q06,CROSS_CUTTING,true,core/src/main/scala/kafka/coordinator/group/GroupCoordinator.scala,0.6098,true,1.0000,1.0000,1.0000,1.0000,true,no_adv_retrieved
E003b-1500-200,1500/200,Q07,BEHAVIOURAL,true,core/src/main/scala/kafka/server/BrokerLifecycleManager.scala,0.6806,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-1500-200,1500/200,Q08,BEHAVIOURAL,true,core/src/main/scala/kafka/cluster/Partition.scala,0.6992,true,1.0000,1.0000,1.0000,1.0000,true,2
E003b-1500-200,1500/200,Q09,CROSS_CUTTING,true,metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java,0.6002,false,0.0000,1.0000,1.0000,0.3333,true,no_adv_retrieved
E003b-1500-200,1500/200,Q10,DIRECT_CONCEPT,true,metadata/src/main/java/org/apache/kafka/image/publisher/SnapshotGenerator.java,0.6738,true,1.0000,1.0000,1.0000,1.0000,true,no_adv_retrieved
E003b-1500-200,1500/200,Q11,BEHAVIOURAL,true,core/src/main/scala/kafka/log/LogManager.scala,0.6195,true,1.0000,1.0000,1.0000,1.0000,true,1
E003b-1500-200,1500/200,Q12,CROSS_CUTTING,true,core/src/main/scala/kafka/server/BrokerServer.scala,0.6383,true,1.0000,1.0000,1.0000,1.0000,true,no_adv_retrieved
E003b-1500-200,1500/200,Q13,BEHAVIOURAL,true,core/src/main/scala/kafka/server/ReplicaManager.scala,0.6016,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-1500-200,1500/200,Q14,ANTI_PATTERN,false,metadata/src/main/java/org/apache/kafka/image/loader/MetadataLoader.java,0.5783,false,0.0000,0.0000,0.0000,0.0000,,
E003b-1500-200,1500/200,Q15,ANTI_PATTERN,false,core/src/main/scala/kafka/server/KafkaApis.scala,0.6606,false,0.0000,0.0000,0.0000,0.0000,,
E003b-1500-200,1500/200,Q16,DIRECT_CONCEPT,true,core/src/main/scala/kafka/server/FetchSession.scala,0.6294,true,1.0000,1.0000,1.0000,1.0000,true,7
E003b-1500-200,1500/200,Q17,DIRECT_CONCEPT,true,raft/src/main/java/org/apache/kafka/raft/internals/AddVoterHandler.java,0.6315,false,0.0000,0.0000,1.0000,0.2000,true,no_adv_retrieved
E003b-1500-200,1500/200,Q18,CROSS_CUTTING,true,core/src/main/scala/kafka/network/RequestChannel.scala,0.6342,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-1500-200,1500/200,Q19,CROSS_CUTTING,true,server/src/main/java/org/apache/kafka/network/SocketServerConfigs.java,0.6020,false,0.0000,1.0000,1.0000,0.5000,true,no_adv_retrieved
E003b-1500-200,1500/200,Q20,DIRECT_CONCEPT,true,storage/src/main/java/org/apache/kafka/storage/internals/log/LogLoader.java,0.6424,false,0.0000,0.0000,1.0000,0.1429,true,no_adv_retrieved
E003b-1500-200,1500/200,Q21,CROSS_CUTTING,true,core/src/main/scala/kafka/server/AutoTopicCreationManager.scala,0.6724,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-1500-200,1500/200,Q22,DIRECT_CONCEPT,true,core/src/main/scala/kafka/cluster/Replica.scala,0.6808,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-1500-200,1500/200,Q23,DIRECT_CONCEPT,true,core/src/main/scala/kafka/log/LogManager.scala,0.6466,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-1500-200,1500/200,Q24,BEHAVIOURAL,true,metadata/src/main/java/org/apache/kafka/image/loader/MetadataBatchLoader.java,0.6595,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-1500-200,1500/200,Q25,DIRECT_CONCEPT,true,core/src/main/scala/kafka/server/ReplicaManager.scala,0.6441,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-1500-200,1500/200,Q26,BEHAVIOURAL,true,core/src/main/scala/kafka/server/KafkaApis.scala,0.6434,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-1500-200,1500/200,Q27,CROSS_CUTTING,true,core/src/main/scala/kafka/server/BrokerServer.scala,0.6240,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-1500-200,1500/200,Q28,ANTI_PATTERN,false,core/src/main/scala/kafka/server/DynamicBrokerConfig.scala,0.6669,false,0.0000,0.0000,1.0000,0.2000,,
E003b-1500-200,1500/200,Q29,BEHAVIOURAL,true,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,0.6772,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-1500-200,1500/200,Q30,DIRECT_CONCEPT,true,storage/src/main/java/org/apache/kafka/storage/internals/log/LogSegments.java,0.6523,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-3000-300,3000/300,Q01,DIRECT_CONCEPT,true,core/src/main/scala/kafka/network/SocketServer.scala,0.5725,true,1.0000,1.0000,1.0000,1.0000,true,no_adv_retrieved
E003b-3000-300,3000/300,Q02,DIRECT_CONCEPT,true,core/src/main/scala/kafka/log/LogCleanerManager.scala,0.6363,false,0.0000,1.0000,1.0000,0.5000,false,-1
E003b-3000-300,3000/300,Q03,BEHAVIOURAL,true,core/src/main/scala/kafka/server/ReplicaFetcherThread.scala,0.6140,true,1.0000,1.0000,1.0000,1.0000,true,3
E003b-3000-300,3000/300,Q04,BEHAVIOURAL,true,raft/src/main/java/org/apache/kafka/raft/QuorumState.java,0.6053,false,0.0000,1.0000,1.0000,0.5000,true,1
E003b-3000-300,3000/300,Q05,CROSS_CUTTING,true,core/src/main/scala/kafka/server/BrokerServer.scala,0.6585,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-3000-300,3000/300,Q06,CROSS_CUTTING,true,core/src/main/scala/kafka/coordinator/group/GroupCoordinator.scala,0.6008,true,1.0000,1.0000,1.0000,1.0000,true,no_adv_retrieved
E003b-3000-300,3000/300,Q07,BEHAVIOURAL,true,metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java,0.6435,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-3000-300,3000/300,Q08,BEHAVIOURAL,true,core/src/main/scala/kafka/cluster/Partition.scala,0.6917,true,1.0000,1.0000,1.0000,1.0000,true,2
E003b-3000-300,3000/300,Q09,CROSS_CUTTING,true,core/src/main/scala/kafka/server/KafkaRequestHandler.scala,0.6002,false,0.0000,1.0000,1.0000,0.3333,false,-2
E003b-3000-300,3000/300,Q10,DIRECT_CONCEPT,true,metadata/src/main/java/org/apache/kafka/image/publisher/SnapshotGenerator.java,0.6501,true,1.0000,1.0000,1.0000,1.0000,true,no_adv_retrieved
E003b-3000-300,3000/300,Q11,BEHAVIOURAL,true,core/src/main/scala/kafka/log/LogCleaner.scala,0.6073,false,0.0000,1.0000,1.0000,0.5000,false,-1
E003b-3000-300,3000/300,Q12,CROSS_CUTTING,true,core/src/main/scala/kafka/server/DynamicBrokerConfig.scala,0.6497,false,0.0000,0.0000,1.0000,0.2500,true,no_adv_retrieved
E003b-3000-300,3000/300,Q13,BEHAVIOURAL,true,core/src/main/scala/kafka/cluster/Partition.scala,0.5936,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-3000-300,3000/300,Q14,ANTI_PATTERN,false,core/src/main/java/kafka/server/share/DelayedShareFetch.java,0.5653,false,0.0000,0.0000,1.0000,0.1111,,
E003b-3000-300,3000/300,Q15,ANTI_PATTERN,false,core/src/main/scala/kafka/server/KafkaApis.scala,0.6512,false,0.0000,0.0000,0.0000,0.0000,,
E003b-3000-300,3000/300,Q16,DIRECT_CONCEPT,true,metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java,0.6114,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-3000-300,3000/300,Q17,DIRECT_CONCEPT,true,raft/src/main/java/org/apache/kafka/raft/internals/EpochElection.java,0.6066,false,0.0000,1.0000,1.0000,0.5000,true,6
E003b-3000-300,3000/300,Q18,CROSS_CUTTING,true,core/src/main/scala/kafka/network/RequestChannel.scala,0.6190,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-3000-300,3000/300,Q19,CROSS_CUTTING,true,server/src/main/java/org/apache/kafka/network/SocketServerConfigs.java,0.5993,false,0.0000,1.0000,1.0000,0.5000,true,3
E003b-3000-300,3000/300,Q20,DIRECT_CONCEPT,true,storage/src/main/java/org/apache/kafka/storage/internals/log/LogLoader.java,0.6285,false,0.0000,1.0000,1.0000,0.3333,true,no_adv_retrieved
E003b-3000-300,3000/300,Q21,CROSS_CUTTING,true,core/src/main/scala/kafka/server/AutoTopicCreationManager.scala,0.6821,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-3000-300,3000/300,Q22,DIRECT_CONCEPT,true,core/src/main/scala/kafka/cluster/Replica.scala,0.6522,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-3000-300,3000/300,Q23,DIRECT_CONCEPT,true,core/src/main/scala/kafka/server/KafkaBroker.scala,0.6288,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-3000-300,3000/300,Q24,BEHAVIOURAL,true,core/src/main/scala/kafka/server/BrokerServer.scala,0.6201,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-3000-300,3000/300,Q25,DIRECT_CONCEPT,true,core/src/main/scala/kafka/server/ReplicaManager.scala,0.6295,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-3000-300,3000/300,Q26,BEHAVIOURAL,true,server-common/src/main/java/org/apache/kafka/server/util/InterBrokerSendThread.java,0.5812,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-3000-300,3000/300,Q27,CROSS_CUTTING,true,metadata/src/main/java/org/apache/kafka/image/ClusterDelta.java,0.5905,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-3000-300,3000/300,Q28,ANTI_PATTERN,false,metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java,0.6613,false,0.0000,0.0000,0.0000,0.0000,,
E003b-3000-300,3000/300,Q29,BEHAVIOURAL,true,core/src/main/scala/kafka/server/ReplicaManager.scala,0.6532,false,0.0000,1.0000,1.0000,0.5000,false,-1
E003b-3000-300,3000/300,Q30,DIRECT_CONCEPT,true,storage/src/main/java/org/apache/kafka/storage/internals/log/UnifiedLog.java,0.6459,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-6000-500,6000/500,Q01,DIRECT_CONCEPT,true,server/src/main/java/org/apache/kafka/network/SocketServerConfigs.java,0.5811,false,0.0000,1.0000,1.0000,0.5000,true,no_adv_retrieved
E003b-6000-500,6000/500,Q02,DIRECT_CONCEPT,true,core/src/main/scala/kafka/log/LogCleaner.scala,0.6281,true,1.0000,1.0000,1.0000,1.0000,true,6
E003b-6000-500,6000/500,Q03,BEHAVIOURAL,true,core/src/main/scala/kafka/cluster/Partition.scala,0.6221,false,0.0000,1.0000,1.0000,0.5000,true,no_adv_retrieved
E003b-6000-500,6000/500,Q04,BEHAVIOURAL,true,raft/src/main/java/org/apache/kafka/raft/KafkaRaftClient.java,0.5736,true,1.0000,1.0000,1.0000,1.0000,true,no_adv_retrieved
E003b-6000-500,6000/500,Q05,CROSS_CUTTING,true,core/src/main/scala/kafka/server/BrokerServer.scala,0.6424,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-6000-500,6000/500,Q06,CROSS_CUTTING,true,core/src/main/scala/kafka/coordinator/group/GroupCoordinator.scala,0.5982,true,1.0000,1.0000,1.0000,1.0000,true,no_adv_retrieved
E003b-6000-500,6000/500,Q07,BEHAVIOURAL,true,core/src/main/scala/kafka/coordinator/transaction/TransactionStateManager.scala,0.6242,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-6000-500,6000/500,Q08,BEHAVIOURAL,true,core/src/main/scala/kafka/server/ReplicaFetcherThread.scala,0.6491,false,0.0000,1.0000,1.0000,0.5000,true,1
E003b-6000-500,6000/500,Q09,CROSS_CUTTING,true,core/src/main/scala/kafka/server/metadata/KRaftMetadataCache.scala,0.5756,false,0.0000,1.0000,1.0000,0.3333,true,6
E003b-6000-500,6000/500,Q10,DIRECT_CONCEPT,true,core/src/main/scala/kafka/server/metadata/BrokerMetadataPublisher.scala,0.6081,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-6000-500,6000/500,Q11,BEHAVIOURAL,true,core/src/main/scala/kafka/log/LogCleanerManager.scala,0.6055,false,0.0000,0.0000,1.0000,0.2000,false,-3
E003b-6000-500,6000/500,Q12,CROSS_CUTTING,true,core/src/main/scala/kafka/server/BrokerServer.scala,0.6057,true,1.0000,1.0000,1.0000,1.0000,true,no_adv_retrieved
E003b-6000-500,6000/500,Q13,BEHAVIOURAL,true,server/src/main/java/org/apache/kafka/server/config/ReplicationConfigs.java,0.5825,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-6000-500,6000/500,Q14,ANTI_PATTERN,false,core/src/main/java/kafka/server/share/SharePartition.java,0.5643,false,0.0000,0.0000,1.0000,0.1429,,
E003b-6000-500,6000/500,Q15,ANTI_PATTERN,false,core/src/main/scala/kafka/server/KafkaApis.scala,0.6159,false,0.0000,0.0000,0.0000,0.0000,,
E003b-6000-500,6000/500,Q16,DIRECT_CONCEPT,true,server/src/main/java/org/apache/kafka/server/config/ReplicationConfigs.java,0.5988,false,0.0000,1.0000,1.0000,0.3333,true,4
E003b-6000-500,6000/500,Q17,DIRECT_CONCEPT,true,raft/src/main/java/org/apache/kafka/raft/VoterSet.java,0.5939,true,1.0000,1.0000,1.0000,1.0000,true,1
E003b-6000-500,6000/500,Q18,CROSS_CUTTING,true,core/src/main/scala/kafka/server/KafkaApis.scala,0.5838,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-6000-500,6000/500,Q19,CROSS_CUTTING,true,core/src/main/scala/kafka/server/ClientQuotaManager.scala,0.6074,true,1.0000,1.0000,1.0000,1.0000,true,6
E003b-6000-500,6000/500,Q20,DIRECT_CONCEPT,true,storage/src/main/java/org/apache/kafka/storage/internals/log/LogLoader.java,0.6187,false,0.0000,0.0000,1.0000,0.2500,true,no_adv_retrieved
E003b-6000-500,6000/500,Q21,CROSS_CUTTING,true,core/src/main/scala/kafka/server/ControllerServer.scala,0.6304,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-6000-500,6000/500,Q22,DIRECT_CONCEPT,true,core/src/main/scala/kafka/cluster/Partition.scala,0.6252,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-6000-500,6000/500,Q23,DIRECT_CONCEPT,true,core/src/main/scala/kafka/log/LogManager.scala,0.5887,false,0.0000,0.0000,1.0000,0.1667,false,-5
E003b-6000-500,6000/500,Q24,BEHAVIOURAL,true,core/src/main/scala/kafka/server/BrokerServer.scala,0.6072,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-6000-500,6000/500,Q25,DIRECT_CONCEPT,true,server-common/src/main/java/org/apache/kafka/admin/AdminUtils.java,0.6166,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-6000-500,6000/500,Q26,BEHAVIOURAL,true,core/src/main/scala/kafka/server/KafkaApis.scala,0.5961,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-6000-500,6000/500,Q27,CROSS_CUTTING,true,metadata/src/main/java/org/apache/kafka/image/ClusterDelta.java,0.5804,false,0.0000,0.0000,1.0000,0.2000,false,-3
E003b-6000-500,6000/500,Q28,ANTI_PATTERN,false,storage/src/main/java/org/apache/kafka/storage/log/metrics/BrokerTopicMetrics.java,0.5732,false,0.0000,0.0000,0.0000,0.0000,,
E003b-6000-500,6000/500,Q29,BEHAVIOURAL,true,core/src/main/scala/kafka/server/ReplicaManager.scala,0.6546,false,0.0000,0.0000,1.0000,0.2500,false,-3
E003b-6000-500,6000/500,Q30,DIRECT_CONCEPT,true,core/src/main/scala/kafka/log/LogCleaner.scala,0.6410,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
